locus_tag	ftype	length_bp	gene	EC_number	COG	product
AIILHNKI_00001	CDS	213				hypothetical protein
AIILHNKI_00002	CDS	408				hypothetical protein
AIILHNKI_00003	CDS	636				hypothetical protein
AIILHNKI_00004	CDS	1524	xerC			Tyrosine recombinase XerC
AIILHNKI_00005	CDS	612	yhcG_1	3.1.-.-	COG4804	Putative nuclease YhcG
AIILHNKI_00006	CDS	414				hypothetical protein
AIILHNKI_00007	CDS	306	clpS2		COG2127	ATP-dependent Clp protease adapter protein ClpS 2
AIILHNKI_00008	CDS	2178	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
AIILHNKI_00009	CDS	651	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
AIILHNKI_00010	CDS	1389	yeeO		COG0534	putative FMN/FAD exporter YeeO
AIILHNKI_00011	tRNA	76				tRNA-Val(tac)
AIILHNKI_00012	CDS	1380	mutL_1			DNA mismatch repair protein MutL
AIILHNKI_00013	CDS	444	mutL_2		COG0323	DNA mismatch repair protein MutL
AIILHNKI_00014	CDS	1602	lptD_1			LPS-assembly protein LptD
AIILHNKI_00015	CDS	1380	surA_1	5.2.1.8		Chaperone SurA
AIILHNKI_00016	CDS	1437	surA_2	5.2.1.8		Chaperone SurA
AIILHNKI_00017	CDS	1482	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
AIILHNKI_00018	CDS	153				hypothetical protein
AIILHNKI_00019	CDS	948				hypothetical protein
AIILHNKI_00020	CDS	837				hypothetical protein
AIILHNKI_00021	CDS	549				hypothetical protein
AIILHNKI_00022	CDS	198				hypothetical protein
AIILHNKI_00023	CDS	279				hypothetical protein
AIILHNKI_00024	CDS	309				hypothetical protein
AIILHNKI_00025	CDS	2016	recQ_1	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
AIILHNKI_00026	CDS	1239	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
AIILHNKI_00027	CDS	669	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
AIILHNKI_00028	CDS	1362	tig	5.2.1.8	COG0544	Trigger factor
AIILHNKI_00029	CDS	810	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
AIILHNKI_00030	CDS	747	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
AIILHNKI_00031	CDS	774	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
AIILHNKI_00032	CDS	414	btrW	2.7.11.1	COG2172	Serine/threonine-protein kinase BtrW
AIILHNKI_00033	CDS	312	btrV_1		COG1366	Putative anti-sigma factor antagonist BtrV
AIILHNKI_00034	CDS	921	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
AIILHNKI_00035	CDS	378				hypothetical protein
AIILHNKI_00036	CDS	624				hypothetical protein
AIILHNKI_00037	CDS	1110	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
AIILHNKI_00038	CDS	327	surE_1	3.1.3.5	COG0496	5'-nucleotidase SurE
AIILHNKI_00039	CDS	366	surE_2	3.1.3.5	COG0496	5'-nucleotidase SurE
AIILHNKI_00040	CDS	768	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
AIILHNKI_00041	CDS	930	parB		COG1475	putative chromosome-partitioning protein ParB
AIILHNKI_00042	CDS	684				hypothetical protein
AIILHNKI_00043	CDS	1383				hypothetical protein
AIILHNKI_00044	CDS	2268	relA_1	2.7.6.5	COG0317	GTP pyrophosphokinase
AIILHNKI_00045	CDS	975	pemA	3.1.1.11	COG4677	Pectinesterase A
AIILHNKI_00046	CDS	2964	tri1_1	3.4.21.-	COG0793	Tricorn protease 
AIILHNKI_00047	CDS	294				hypothetical protein
AIILHNKI_00048	CDS	348				hypothetical protein
AIILHNKI_00049	CDS	1305	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
AIILHNKI_00050	CDS	1320	alaS_2	6.1.1.7	COG0013	Alanine--tRNA ligase
AIILHNKI_00051	CDS	2673	gyrA_1	5.6.2.2		DNA gyrase subunit A
AIILHNKI_00052	CDS	690				hypothetical protein
AIILHNKI_00053	CDS	996				hypothetical protein
AIILHNKI_00054	tRNA	82				tRNA-Leu(tag)
AIILHNKI_00055	CDS	474	smc_1			Chromosome partition protein Smc
AIILHNKI_00056	CDS	522				hypothetical protein
AIILHNKI_00057	CDS	618				hypothetical protein
AIILHNKI_00058	CDS	456				Outer membrane protein 40
AIILHNKI_00059	CDS	495				hypothetical protein
AIILHNKI_00060	CDS	222				hypothetical protein
AIILHNKI_00061	CDS	411				hypothetical protein
AIILHNKI_00062	CDS	171				hypothetical protein
AIILHNKI_00063	CDS	459				hypothetical protein
AIILHNKI_00064	CDS	279				hypothetical protein
AIILHNKI_00065	CDS	387				hypothetical protein
AIILHNKI_00066	CDS	1314	der		COG1160	GTPase Der
AIILHNKI_00067	CDS	828	era		COG1159	GTPase Era
AIILHNKI_00068	CDS	1005	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
AIILHNKI_00069	CDS	192	rpmF			50S ribosomal protein L32
AIILHNKI_00070	CDS	522				hypothetical protein
AIILHNKI_00071	CDS	1116	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
AIILHNKI_00072	rRNA	109				5S ribosomal RNA
AIILHNKI_00073	rRNA	2888				23S ribosomal RNA
AIILHNKI_00074	tRNA	75				tRNA-Ala(tgc)
AIILHNKI_00075	tRNA	75				tRNA-Ile(gat)
AIILHNKI_00076	rRNA	1524				16S ribosomal RNA
AIILHNKI_00077	CDS	483				hypothetical protein
AIILHNKI_00078	CDS	315				hypothetical protein
AIILHNKI_00079	CDS	231				hypothetical protein
AIILHNKI_00080	CDS	312				hypothetical protein
AIILHNKI_00081	CDS	321				hypothetical protein
AIILHNKI_00082	CDS	2439				hypothetical protein
AIILHNKI_00083	CDS	186				hypothetical protein
AIILHNKI_00084	CDS	1299				hypothetical protein
AIILHNKI_00085	CDS	1314				hypothetical protein
AIILHNKI_00086	CDS	753	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
AIILHNKI_00087	CDS	744	rny_1	3.1.-.-	COG1418	Ribonuclease Y
AIILHNKI_00088	CDS	675	rny_2	3.1.-.-	COG1418	Ribonuclease Y
AIILHNKI_00089	CDS	300				hypothetical protein
AIILHNKI_00090	CDS	297				hypothetical protein
AIILHNKI_00091	CDS	621				hypothetical protein
AIILHNKI_00092	CDS	873	rmlA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase
AIILHNKI_00093	CDS	447	gtaB	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
AIILHNKI_00094	CDS	1494	galK_1	2.7.1.6		Galactokinase
AIILHNKI_00095	CDS	597				hypothetical protein
AIILHNKI_00096	CDS	648	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
AIILHNKI_00097	CDS	135				hypothetical protein
AIILHNKI_00098	CDS	975	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
AIILHNKI_00099	CDS	1806	clcB			Voltage-gated ClC-type chloride channel ClcB
AIILHNKI_00100	CDS	585	tsaC	2.7.7.87		Threonylcarbamoyl-AMP synthase
AIILHNKI_00101	CDS	1590	prfC		COG4108	Peptide chain release factor 3
AIILHNKI_00102	CDS	387				hypothetical protein
AIILHNKI_00103	CDS	858	rmlD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
AIILHNKI_00104	CDS	546				hypothetical protein
AIILHNKI_00105	CDS	699				hypothetical protein
AIILHNKI_00106	CDS	984	glkA_1	2.7.1.2		Glucokinase
AIILHNKI_00107	CDS	531				hypothetical protein
AIILHNKI_00108	CDS	252				hypothetical protein
AIILHNKI_00109	CDS	318				hypothetical protein
AIILHNKI_00110	CDS	150				hypothetical protein
AIILHNKI_00111	CDS	396				hypothetical protein
AIILHNKI_00112	CDS	459				hypothetical protein
AIILHNKI_00113	CDS	714				hypothetical protein
AIILHNKI_00114	CDS	1254				hypothetical protein
AIILHNKI_00115	CDS	447				hypothetical protein
AIILHNKI_00116	CDS	1542	rapZ			RNase adapter protein RapZ
AIILHNKI_00117	CDS	417				hypothetical protein
AIILHNKI_00118	CDS	567	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
AIILHNKI_00119	CDS	909				hypothetical protein
AIILHNKI_00120	CDS	321	yajC		COG1862	Sec translocon accessory complex subunit YajC
AIILHNKI_00121	CDS	987	nusB			Transcription antitermination protein NusB
AIILHNKI_00122	CDS	600	ctc		COG1825	General stress protein CTC
AIILHNKI_00123	CDS	597	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
AIILHNKI_00124	CDS	381	hslR		COG1188	Heat shock protein 15
AIILHNKI_00125	CDS	993	yrbG		COG0530	Inner membrane protein YrbG
AIILHNKI_00126	CDS	696				queuosine precursor transporter
AIILHNKI_00127	CDS	483	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
AIILHNKI_00128	CDS	1782	mhpE	4.1.3.39		4-hydroxy-2-oxovalerate aldolase
AIILHNKI_00129	CDS	540				hypothetical protein
AIILHNKI_00130	CDS	2841	lptD_2			LPS-assembly protein LptD
