Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
AIILHNKI_00037	-	GT19(5-346)	-	-	N	1
AIILHNKI_00043	-	GH23(149-283)	-	-	Y(1-25)	1
AIILHNKI_00045	-	CE8(39-288)	-	-	Y(1-20)	1
AIILHNKI_00137	-	GH188(1-147)	-	-	N	1
AIILHNKI_00199	-	GH31_4(1-200)	-	-	N	1
AIILHNKI_00200	-	GH31_4(109-253)	-	-	N	1
AIILHNKI_00284	-	GH13_8(223-488)	-	-	N	1
AIILHNKI_00331	-	GH97(1-249)	-	-	N	1
AIILHNKI_00332	-	GH97(27-330)	-	-	Y(1-22)	1
AIILHNKI_00345	-	CE7(122-329)	-	-	Y(1-20)	1
AIILHNKI_00346	-	GH26(171-363)	-	-	N	1
AIILHNKI_00347	-	GH130_1(101-357)	-	-	N	1
AIILHNKI_00372	-	GT119(46-191)+GT119(206-472)	-	-	N	1
AIILHNKI_00421	-	GH133(283-626)	-	-	N	1
AIILHNKI_00422	-	GT4(243-387)	-	-	N	1
AIILHNKI_00423	-	GH57_3(36-256)	-	-	N	1
AIILHNKI_00458	-	GH105(43-359)	-	-	N	1
AIILHNKI_00459	-	PL33(378-524)	-	-	N	1
AIILHNKI_00461	-	GH154(75-388)	-	-	Y(1-21)	1
AIILHNKI_00495	-	CE8(211-459)	-	-	Y(1-20)	1
AIILHNKI_00500	-	GH43_2(37-141)	-	-	Y(1-19)	1
AIILHNKI_00502	-	GH43_7(27-109)	-	-	N	1
AIILHNKI_00503	-	GH43_7(1-102)	-	-	N	1
AIILHNKI_00508	-	GH13_46(1-178)	-	-	N	1
AIILHNKI_00509	-	GH13_46(62-202)	-	-	N	1
AIILHNKI_00520	-	CE1(159-329)	-	-	Y(1-20)	1
AIILHNKI_00521	-	GH3(93-334)	-	-	Y(1-32)	1
AIILHNKI_00532	-	GT4(237-384)	-	-	N	1
AIILHNKI_00534	-	GT2(12-205)	-	-	N	1
AIILHNKI_00536	-	GH13_6(58-342)	-	-	Y(1-22)	1
AIILHNKI_00537	-	GH53(26-358)	-	-	Y(1-20)	1
AIILHNKI_00567	-	GT2(212-398)	-	-	N	1
AIILHNKI_00587	-	GT3(13-550)	-	-	N	1
AIILHNKI_00588	-	GT35(123-665)	-	-	N	1
AIILHNKI_00594	-	GH13_38(49-394)	-	-	N	1
AIILHNKI_00601	-	GT2(57-190)	-	-	N	1
AIILHNKI_00618	-	GT2(4-122)	-	-	N	1
AIILHNKI_00645	-	GH13_48(66-337)	-	-	Y(1-21)	1
AIILHNKI_00692	-	GH67(1-448)	-	-	N	1
AIILHNKI_00694	-	GH35(27-359)	-	-	Y(1-22)	1
AIILHNKI_00705	-	GH2_1(4-447)	-	-	N	1
AIILHNKI_00715	-	GH28(177-339)	-	-	Y(1-27)	1
AIILHNKI_00726	-	GH77(252-557)	-	-	N	1
AIILHNKI_00727	-	GH97(20-592)	-	-	Y(1-18)	1
AIILHNKI_00729	-	GH13_14(11-334)	-	-	N	1
AIILHNKI_00731	-	CE15(54-376)	-	-	Y(1-19)	1
AIILHNKI_00732	-	CE1(131-357)	-	-	Y(1-20)	1
AIILHNKI_00733	-	GH31_4(311-615)	-	-	Y(1-20)	1
AIILHNKI_00734	-	GH43_29(39-261)+CBM6(333-472)+GH43_29(498-709)+CBM6(808-920)	-	-	Y(1-21)	1
AIILHNKI_00739	-	GH10(437-698)	-	-	Y(1-22)	1
AIILHNKI_00746	-	GH115(169-500)	-	-	Y(1-20)	1
AIILHNKI_00751	-	GH3(61-333)	-	-	Y(1-20)	1
AIILHNKI_00752	-	GH95(33-757)	-	-	Y(1-20)	1
AIILHNKI_00753	-	GH10(58-363)+CE1(507-722)	-	-	Y(1-20)	1
AIILHNKI_00772	-	GH76(121-274)	-	-	Y(1-27)	1
AIILHNKI_00777	-	GH92(240-684)	-	-	N	1
AIILHNKI_00778	-	GH125(73-469)	-	-	Y(1-22)	1
AIILHNKI_00781	-	CE6(46-288)+CE1(439-667)	-	-	Y(1-30)	1
AIILHNKI_00782	-	GH5_21(36-349)	-	-	Y(1-19)	1
AIILHNKI_00790	-	GH43_2(37-280)	-	-	Y(1-19)	1
AIILHNKI_00792	-	GH43_7(34-137)	-	-	Y(1-20)	1
AIILHNKI_00793	-	GH43_7(1-91)	-	-	N	1
AIILHNKI_00794	-	GH13_46(173-505)	-	-	Y(1-21)	1
AIILHNKI_00810	-	GH2_1(29-574)	-	-	Y(1-19)	1
AIILHNKI_00840	-	GT51(15-179)	-	-	N	1
AIILHNKI_00877	-	GT5(5-225)	-	-	N	1
AIILHNKI_00885	-	CE12(26-260)	-	-	Y(1-36)	1
AIILHNKI_00919	-	GH24(9-140)	-	-	N	1
AIILHNKI_00928	-	GT2(4-215)	-	-	N	1
AIILHNKI_00945	-	GH25(84-266)	-	-	Y(1-23)	1
AIILHNKI_00955	-	GH43_19(8-238)	-	-	N	1
AIILHNKI_01064	-	GH25(86-219)	-	-	N	1
AIILHNKI_01082	-	CE1(13-232)	-	-	N	1
AIILHNKI_01089	-	GH3(186-444)	-	-	N	1
AIILHNKI_01090	-	GH92(636-1061)	-	-	N	1
AIILHNKI_01093	-	GH92(243-595)	-	-	Y(1-22)	1
AIILHNKI_01097	-	GH43_1(64-277)	-	-	N	1
AIILHNKI_01099	-	CE20(408-538)	-	-	Y(1-20)	1
AIILHNKI_01106	-	GH51_2(225-518)	-	-	Y(1-27)	1
AIILHNKI_01107	-	GH146(41-419)	-	-	Y(1-28)	1
AIILHNKI_01109	-	GH28(152-307)	-	-	Y(1-16)	1
AIILHNKI_01130	-	CE20(245-363)	-	-	Y(1-20)	1
AIILHNKI_01179	-	GT2(13-228)	-	-	N	1
AIILHNKI_01198	-	GH43_4(38-330)	-	-	Y(1-20)	1
AIILHNKI_01199	-	GH43_5(39-272)	-	-	N	1
AIILHNKI_01200	-	GH43_10(67-260)+CBM91(383-547)	-	-	Y(1-40)	1
AIILHNKI_01202	-	GH53(26-327)	-	-	Y(1-21)	1
AIILHNKI_01205	-	CE7(123-410)	-	-	Y(1-21)	1
AIILHNKI_01206	-	CE19(12-311)	-	-	N	1
AIILHNKI_01207	-	GH43_10(48-255)+CBM91(335-519)	-	-	N	1
AIILHNKI_01215	-	GT2(4-245)	-	-	N	1
AIILHNKI_01224	-	GH31_3(185-484)	-	-	N	1
AIILHNKI_01226	-	GH5_4(67-366)+CBM72(401-583)	-	-	Y(1-23)	1
AIILHNKI_01230	-	GH5_4(23-177)+CBM72(212-395)	-	-	N	1
AIILHNKI_01232	-	GH31_3(156-455)	-	-	N	1
AIILHNKI_01274	-	GH16_3(27-261)	-	-	Y(1-20)	1
AIILHNKI_01295	-	GH92(296-777)	-	-	Y(1-53)	1
AIILHNKI_01333	-	GH25(244-422)	-	-	N	1
AIILHNKI_01430	-	GH97(24-617)	-	-	Y(1-20)	1
AIILHNKI_01488	-	GH29(71-373)	-	-	N	1
AIILHNKI_01506	-	GT9(166-292)	-	-	N	1
AIILHNKI_01556	-	GH5_4(63-357)	-	-	Y(1-22)	1
AIILHNKI_01558	-	GH36(308-532)	-	-	Y(1-20)	1
AIILHNKI_01613	-	CE2(151-370)	-	-	Y(1-20)	1
AIILHNKI_01627	-	GH9(338-757)	-	-	N	1
AIILHNKI_01648	-	GH92(300-699)	-	-	Y(1-22)	1
AIILHNKI_01649	-	GH3(123-375)	-	-	N	1
AIILHNKI_01650	-	GH29(46-335)	-	-	Y(1-22)	1
AIILHNKI_01651	-	GH92(3-291)	-	-	N	1
AIILHNKI_01652	-	GH92(274-437)	-	-	Y(1-24)	1
